Title,Source,Date,Body
Remarks to Members of the National Citizens Committee for Community Relations,Primary Sources in U.S. Presidential History,"August 18, 1964","On this occasion you come to begin work as important as any that has ever been undertaken by any Americans-in any time. You deserve the fullest gratitude of your President.I believe that the occasion deserves, and the times require, that what is said now be spoken without thought of favor or without fear of consequence.From long habit we speak too often in whispers, when we speak of race. We cannot evade our responsibilities now by speaking evasively, or softly, or illusively of what has become the central challenge of our society and its success.Our national house stands strong and secure today. In that house, 190 million of us live together as no people of any nation have ever lived before-well paid, well clad, well housed, well schooled, well endowed in all things material and all things spiritual.We cannot believe, and we cannot conceive, that life in our national house could ever be other than it is today. But we would do well, always, to recall the words spoken in another time by another President, ""A house divided against itself cannot stand."" That was true a century ago. It is no less true today.Across our national house a long shadow is being cast. At the high noon of our success, the sun is being dimmed by the darkness of division, division that need not be, division that must not prevail. And that is what requires some frank speaking.The shadow falling across America is not the shadow of race itself. It is the darker shadow of indefensible counsel about what America's response should be, about what our responsibilities are, and what are the challenges which race presents.In the white community, and in the Negro community, counsel is being offered today which has no place in this land of ours. In both communities men are being told that no answer is better than any answer, that no progress is better than any progress, that no peace is better than any peace.Whatever our race, whatever our region, we of this generation must understand what this counsel means and we must understand where this counsel leads. For, if we follow the logic of this counsel to its irresponsible conclusion, we would come inevitably to agree that no house is better than any house, that no America is better than any America in which our own wishes and will do not prevail alone.This is not the course that we choose.Division is not our destiny.Failure at home is not to be the fate of our Nation which has succeeded so nobly in the world.A time has come to cease telling ourselves and the world that the destiny and the fate of this Nation will be decided by street rioters and night riders.A time has come to cease this cynical guessing of who will be helped and who will be hurt by disorders and disobedience and disrespect for the decency of our society.All will be hurt, none will be helped, if responsible citizens sit on the sidelines regarding the stability of our society as a spectator sport.So, then, let us together soberly face the facts before us. A problem older than any of us, older even than our Nation, as old as

[Page 980]the history of man, himself, has come upon us to test our system and to challenge our society.There are two courses open to us. We can meet the challenge, or we can turn away from it. We can master the problem, or we can leave it to master us.Well, we have made our decision. We have chosen to meet it by the answer of law.The law enacted by the Congress says simply that voting booths and classrooms, that public parks and public places, programs supported by public funds, shall be open to the public, all the public, on an equal basis.This is not a law to select neighbors, or to dictate associates, or to control human relations. This is not a law to impose the power of the central Government upon the State governments of the land.The provisions of this law merely validate for all people the national provisions of law already in force. And laws of this kind are in force with regard to public accommodations in all but 19 of our 50 States already. In most of the States, the State law that has been enacted, in many instances a long, long time ago, is much more comprehensive than the national law that was passed a few weeks ago.The provisions of this law represent not the views of one party, but of both parties; not the views of one philosophy, but of all responsible philosophies.The Civil Rights Act of 1964 would not be on our books today, except for the support that it received from the members of both parties: the Republican Party and the Democratic Party in both the Senate and the House. Conservatives voted for it, liberals voted for it. So we demand, and we are going to have, respect for law and order in this land. That respect begins with the law which is the law of our land today.But respect for the law requires respect for ourselves. Self-respecting Americans will not-and must not-permit the destiny and the direction of their Nation to fall into the hands of those who seek our division.And this means one thing: If we are to keep our system secure and our society stable, we must all begin to work where all of us work best. And where is that? That is in the communities where we all live today.So that is the real challenge before us, as we meet here this afternoon in the shadow of the White House in this lovely Rose Garden.Wherever we live, we must ask ourselves: Are we prepared to give up our prosperity and our peace and let our prejudices make paupers of us all?Are we of this generation to be remembered for allowing America's progress to run aground on the shoals of race?The answers are ""no.""A nation of courage and compassion, a nation of commonsense, must not and will not allow its greatness to be degraded by those who work only for its division.The question before our Nation is not how whites will vote, or Negroes will vote, next November. The question is, how shall we work together and succeed together for the next 100 Novembers to come?We all know that the Emancipation Proclamation was signed 100 years ago, but emancipation was a proclamation, it was not a fact. So, upon you in your own communities fall the great task of these times, the task of fostering understanding, the task of securing observation and compliance, the task of assuring justice for all Americans. And that is a very great task.I wish you well. I pray for our success together; that this house in which we live shall stand and shall endure for all times to come. And let us, in our understanding

[Page 981]and our tolerance and our patience, forgive those that know not what they do. Let's turn our cheek to those who would spread fear and fear and try to create problems that should not be developed.Let us look at this land we love and be constantly reminded that the spotlight of the world is upon us and we are under that microscope and we are living in a goldfish bowl.Let us ask ourselves if our every act, our every public declaration and exhibition, is being guided by the Golden Rule, ""Do unto others as you would have them do unto you."" I secure the strength that permits me to endure the responsibilities that are mine from associating with good and great men and women who are willing to do what you are doing today, giving your very all to try to preserve the unity of this Nation.I shall never cease to be grateful for men like Governor Hodges and Governor Collins who feel and who care and who love humanity, and who made great personal sacrifices in order to come here and work in the vineyard with us to try to heal the wounds and to avoid the pitfalls that they could see in this atmosphere.I shall always be proud that I am a citizen of a country that can produce an Arthur Dean who, without any hesitancy, could leave a great law practice and say, ""Where my country needs me, I will be."" And to Mr. Manger and Mr. Wheeler and to each of you I again express my deep gratitude for all that you have done and all you are going to do on behalf of all the people of this country. I want to say ""thank you"" from a grateful heart.
NOTE: The President spoke at 5:10 p.m. in the Rose Garden at the White House. His opening words referred to LeRoy Collins, Director of the Community Relations Service, Department of Commerce, and former Governor of Florida, Arthur H. Dean, chairman of the National Citizens Committee for Community Relations and former head of the U.S. delegation to the disarmament negotiations in Geneva with rank of Ambassador, Julius Manger, executive vice chairman of the Committee and president of the Manger Hotels, and John H. Wheeler, vice chairman of the Committee and president of the Mechanics and Farmers Bank, Durham, N.C. Later in his remarks the President referred to Secretary of Commerce Luther H. Hodges, former Governor of North Carolina.

At the invitation of the President, the National Citizens Committee for Community Relations-a committee composed of national leaders in business, labor, education, and religion, working toward a broad national consensus in support of the Civil Rights Act-met in Washington with officials of the Department of Commerce to discuss methods of encouraging voluntary compliance with the law."
Transferring to the Housing and Home Finance Administrator certain functions of the Atomic Energy Commission under the Atomic Energy Community Act of 1955,Primary Sources in U.S. Presidential History,"April 18, 1963","By virtue of the authority vested in me by the Atomic Energy Community Act of 1955 (69 Stat. 471), as amended, (hereinafter called the Act) and particularly by Section 101 thereof, and as President of the United States, it is ordered as follows:SECTION 1. The provisions of Sections 2 to 8, inclusive, of this order shall be applicable to the community of Los Alamos, New Mexico, but shall not be applicable to the community of Oak Ridge, Tennessee, or to the community of Richland, Washington.SEC. 2. There are hereby transferred to the Housing and Home Finance Administrator (hereinafter called the Administrator) all of the functions, duties, and responsibilities of the Atomic Energy Commission (hereinafter called the Commission) (i) under Sections 34 to 36, inclusive, Sections 51 to 55, inclusive, Section 57, Sections 61 to 66,

[Page 2]

inclusive, and Section 116 of the Act, (ii) under the last sentence of Section 56 of the Act, and (iii) with respect to sales of apartment buildings to cooperatives under Section 58 of the Act, with the following exceptions and qualifications:The Commission shall retain the power and duty of, and the responsibility for, (i) determining the property to be offered for disposal pursuant to Section 52 of the Act, including the timing thereof, the improvements to be designated as eligible for a credit under subsections 36a and 36b, the extent to which a lessee has been previously compensated for improvements under subsection 36a, and the provisions and procedures to be adopted pursuant to subsections 55b to 55e, inclusive, and (ii) removing, transferring or designating property pursuant to subsections 52a(1), 52a(2), and 52a(3).The Commission shall retain all duties, functions and responsibilities under subsection 57b of the Act, both as to existing lots and lots developed or to be developed under the Act or any other Act, except as the Commission and the Administrator may mutually agree should be transferred to the Administrator.SEC. 3. There shall be transferred to the Administrator, who shall thereafter exercise full jurisdiction in connection therewith, all interests, rights, powers, duties, and responsibilities of the United States, including any interests, rights, powers, duties, and responsibilities of the Commission under the Act or any act (except such interests, rights, powers, duties, and responsibilities as the Commission and the Administrator may mutually agree shall be retained by the Commission), with respect to the property designated by the Commission for disposal by the Administrator, pursuant to Section 52 of the Act.SEC. 4. The transfers specified in Section 3 hereof shall be effective as to each parcel of property offered for disposal pursuant to Section 52 of the Act on the date the Administrator executes a deed as provided in Section 55, or a contract to purchase as provided in Section 61, with respect to each such parcel of property.SEC. 5. To the extent necessary or appropriate to enable him to perform or exercise the functions, duties, and responsibilities transferred to him by this order, the Administrator, and such officers or employees to whom he may delegate authority with respect to such functions, duties, and responsibilities, may perform or exercise any of the functions, duties, or responsibilities conferred upon the Commission by the Act, including, specifically, Chapter 11 thereof. Any funds derived by the Commission from the disposal of property under the Act, including funds derived from the disposal of property under subsection 57b of the Act, shall be transferred to the Administrator, but shall otherwise remain subject to the provisions of Section 117 of the Act.SEC. 6. The Commission and the Administrator shall keep each other currently advised as to action taken pursuant to the Act, shall consult with each other on all matters arising under the Act or this order which either agency deems to be of mutual concern, and may jointly agree upon such further measures, not inconsistent with the Act or this order,

[Page 3]

as will promote the expeditious and effective accomplishment of the policy and purposes of the Act.SEC. 7. Executive Order No. 9816 of December 31, 1946, is hereby amended to the extent that it may be inconsistent with this order.SEC. 8. Nothing in this order shall invalidate any action taken by the Commission prior to the effective date of this order, or impair or affect any outstanding obligations or contracts of the Commission, or impair any power or authority of the Commission with respect to functions not transferred by or pursuant to this order. No person affected by any action taken by either the Commission or the Administrator, or by any person acting under authority delegated to him consonant with law, shall be entitled to challenge the validity thereof or otherwise excuse his action or failure to act on the grounds that pursuant to the provisions of this order such action was within the jurisdiction of the Commission rather than the Administrator, or vice versa.SEC. 9. Executive Order No. 10657 of February 14, 1956, as amended, is hereby further amended by adding at the end thereof a new Section 8, reading as follows:""SEC. 8. Nothing in this order shall be applicable to the community of Los Alamos, New Mexico.""JOHN F. KENNEDYTHE WHITE HOUSE,
April 18, 1963."
Remarks at the National Urban League's Community Action Assembly,Primary Sources in U.S. Presidential History,"December 10, 1964","It is more than 100 years since Abraham Lincoln charged the living to dedicate themselves to the unfinished work of the dead at Gettysburg.Even Lincoln, with his deep sense of man's imperfections, could not know that a century later we would still be striving to abolish racial injustice.No task is more deeply rooted in the complexities of American life. Poverty and tradition, fear and ignorance, the structure of our society and the workings of our economy, all converge on this enormous wrong which has troubled the American conscience from the beginning. Its just solution is essential, not only to give the full blessings of freedom to Negroes, but to liberate all of us.There are those who say: It has taken us a century to move this far. It will take another hundred years to finish the job.Well, I am here to say to you tonight that I do not agree.Great social change tends to come rapidly in periods of intense activity and progress before the impulse slows. I believe we are in the midst of such a period of change.So, it is our task to carry forward nothing less than the full assimilation of more than 20 million Negroes into American life. This is not to be an assimilation of bland con-

[Page 1654]formity. Our object is not to make all people alike. It is, as it has always been, to allow ready access to every blessing of liberty, while permitting each to keep his sense of identity with a culture and tradition. In this way we enlarge our freedom and we enrich our Nation.We have just passed a milestone in this task.The Civil Rights Act of 1964 extends the protection of the law to many of the demands of justice.This act, of course, is not the whole answer. But tonight I ask each of you to think for a moment what an enormous setback the failure to pass it would have been.When I picked up after our beloved leader had been taken from us, I did not know and few in my vicinity knew that we would ever get as far as we have.Now, your Government must and will move rapidly to carry out this legislation. I have come here tonight to tell you and I expect you to tell those that you counsel with and those you lead that we intend to give new vigor to our many activities in the field of equal opportunity.The Congress, in title VI of the Civil Rights Act, established the principle that race or color can be no criteria for participation in Federal programs.Last week I approved the first set of regulations to implement that principle. Those regulations are designed to provide a just and prompt and reasoned resolution of all disputes. Our first objective will always be to assure nondiscriminatory operation rather than to put an end to programs which are vital to the welfare of all Americans.The widespread voluntary support, in all parts of the country, of the public accommodation title is proof of the educational value of law, and the great reservoir of good will among Americans. I believe this title, too, will find wide acceptance. It is simple justice that all should share in programs that are financed by all and that are directed by the Government of all the people.Within your Government there are many programs dedicated to the goal of equal opportunity. They range from the Civil Rights Division of the Justice Department, the Civil Rights Commission and the President's Committee on Equal Opportunity in Housing to the Community Relations Service, the President's Committee on Equal Opportunity in Employment, and the soon to be created Equal Employment Opportunity Commission .Each of these groups has a distinct and a very important mission. Those now in existence have done a difficult task in impressive way.But really they all aim toward the same general objective. And really they must pursue that objective through cooperation among themselves and with private groups such as the distinguished members of this organization who have helped us so much for so long. With so many groups in a single field, there is always the danger of duplication, overlap, or unnecessary delay. As long as I am your President, I want the Government of all of the people to speak with a single voice on this single question.Therefore, I am delighted to tell you tonight that I have asked Vice President-elect Hubert Humphrey, and he has agreed, to assume the responsibility for working with all of these groups, assisting in coordination of their efforts, and helping them to build toward an energetic pursuit of equal opportunity for all people in this Nation.These are some of the steps that we are taking, and there are going to be a good many more. For, as the problem of civil rights has grown in urgency, it has also

[Page 1655]grown in complexity. We must open the doors of opportunity. We must equip our people to walk through those doors. Thus, programs to eliminate poverty, to improve education, to provide housing by enlarging the opportunities of all Americans assure new opportunities for Negro Americans.There are those who predict that the struggle for full equality in America will be marked by violence and hate; that it will tear at the fabric of our society.Well, for myself, I cannot claim to see so clearly into that future. I just do not agree. I know that racial feelings flow from many deep and resistant sources in our history, in the pattern of our lives, and in the nature of man.But I believe there are other forces that are stronger because they are armed with truth which will bring us toward our goal in peace.These are our commitments to morality and to justice which are written in our laws and, more importantly, nourished in the hearts of our people.These commitments carried forward by men of good will in every part of this land will lead this Nation toward the great and necessary fulfillment of American freedom.In this way our peoples will once again prove equal to the ideals and the values on which this our beloved Nation rests.This has been a long and somewhat exacting week. We have met and heard the problems of the Prime Minister of Malawi.We have met and visited at some length with the Prime Minister of Great Britain, the United Kingdom.We have met and discussed the problems of free men in southeast Asia.We have reviewed the lot of the people on the continent of Africa, and particularly the Congo.But in each and every one of these studies, we have tried to put the interest of the individual and the dignity of the person first and foremost in our minds.In a doubtful period in 1957, 85 years since the Congress acted on the subject of civil rights and protecting the constitutional rights of all of our people, I sat down with the leaders of the Urban League, and with their guidance and with their help and with their support, for the first time in 85 years, we passed the first Civil Rights Act through the Congress of the United States.That was a small step forward. We were just learning to walk, but by 1960 it was possible for us to implement that statute and to contribute some constructive improvements.Then, a new administration came to power in 1961 and at the end of 4 years we had passed the most comprehensive legislation-and signed it-ever to be put on our statute books in this field.Now, the lights are still on in the White House tonight-preparing programs that will keep our country up with the times, and it will keep our feet on the ground.We have a Great Society. We do not have to begin one; we just have to keep it, retain it, improve it, and develop it.We know that the education of our citizens, the employment of our people, the health of their bodies, the freedom they enjoy, the security that is theirs are all uppermost in the minds of those charged with the responsibility of leadership.I would not be human if I did not say that under your leadership and the leadership of other conscious, concerned people in this country, you have placed upon me a terrifying responsibility and an obligation that it will be my determination to deserve every waking moment of my term of office.Your faith in the future of your land and the future of the leadership that has been chosen has already been expressed, but I wanted at the end of a long day to come here

[Page 1656]and tell you of my faith in you.There are many things I want for my people and a few things I want for my little girls. I am going to do what I can in the time allotted me to help bring those about.One of the Presidents that I admire most signed the Emancipation Proclamation 100 years ago. But emancipation was a proclamation and was not a fact. It shall be my purpose and it is my duty to make it a fact.Until every qualified person regardless of the house where he worships or the State where he resides or the way he spells his name or the color of his skin-until he has the right unquestioned and unrestrained to go in and cast his ballot in every precinct in this country, I am not going to be satisfied.The finest compliment that I can pay to the Negroes of America is to say that if their constitutional rights are protected as mine are protected, if they have the privilege of voting as I am privileged to vote, then all these other problems will take care of themselves.Now, I want to say one word before I leave. I must be careful not to be commercial. But you people have been trusting me for a long, long time. A good many of you have been among my closest friends since I came here in 1937. There is just one thing I want to say to you.I want to thank each and every one of you who has spent an hour or a dollar with the Urban League, because it is through efforts that you have made and others like you that the shackles of bondage have been removed from your fellow man. There are men who are dying tonight in Viet-Nam to preserve the freedom of us all, and the least that you can do, until you are called upon to give your life, is to give your support, give your talent, and give your heart to organizations like this and to leadership of men like Whitney Young.
NOTE: The President spoke at 8:40 p.m. in the Main Ballroom at the Sheraton-Park Hotel in Washington. In his opening words he referred to Whitney M. Young, Jr., Executive Director of the National Urban League.

For the President's approval of departmental and agency civil rights regulations, referred to during his remarks, see Item 792.

The theme of the National Urban League's Community Action Assembly, held in Washington December 9-11, was ""Lifeline to Equal Opportunity."" Its purpose was to bring together Federal officials and Negro leaders in order ""to open pipelines of self-help for poverty-struck Harlems from New York to Seattle."""
Address in Honolulu Before the United States Conference of Mayors,Primary Sources in U.S. Presidential History,"June 9, 1963","Mayor Lee, Mayor Blaisdell, distinguished guests, Governor Burns, Members of the Congress, the Senate and the House, ladies and gentlemen:Aloha.I want to express appreciation to all of you for being generous enough to commence this meeting, in a sense, a day early and giving me an opportunity to say a few words to you.I have come a good many thousands of miles because I thought that this represented the best opportunity for me to talk to some of my fellow executives who bear great responsibilities, as do those of us who work in Washington, for the welfare of our country, the welfare of our States, and the welfare of our communities. I talk to you today not only as President of the United States, but also as a citizen of the District of Columbia, where the President bears some of the responsibilities which are ordinarily borne by a mayor in other parts of the country.I am here, in short, to discuss with you a problem which is not local, but national, not northern or southern, eastern or western, but a national problem, a national challenge, a problem and challenge; and responsibility, and opportunity which will be before us all in the coming months and, indeed, in the coming years. And I am talking about the problem of race relations, the relations of one American to another, wherever he may live and wherever he may work.I would ask that any mayor who believes that there is no problem in his city to talk to those who once believed the same, and then look at his own unemployment, his own juvenile delinquency, his own school dropouts, his own housing, his own community problems.Federal action, including additional Federal legislation, can help. And I think State action can help. But in the last analysis, what happens in Birmingham, or Chicago, or Los Angeles, or Atlanta depends in large measure upon the leadership of those communities. We will back you up, we will work with you in every way possible, but the mayor of every metropolitan city, in every section of America, must be aware of the difficult challenges he now faces and will face in the coming months.I am asking you, in short, to be alert, not alarmed. The demonstrations of unrest in

[Page 455]

Birmingham, in Boston, in Jackson, in Greensboro, Nashville, Philadelphia, St. Louis, and elsewhere can be expected in many other cities in the next few months, North and South. Students will be out of college and out of high school. Large numbers of Negroes will be out of work. The events in Birmingham have stepped up the tempo of the nationwide drive for full equality--and rising summer temperatures are often accompanied by rising human emotions.The Federal Government does not control these demonstrations. It neither starts them, directs them, nor stops them. What we can do is seek through legislation and Executive action to provide peaceful remedies for the grievances which set them off, to give all Americans, in short, a fair chance for an equal life. I would hope that every mayor here would recognize the assistance they would be provided by those legislative proposals which would help move these disputes off the streets and into the courts, erase all doubts as to the validity of conflicting legal documents, doctrines, and arguments, require all merchants in all cities .at the same time to take the same action, so that none will hang back for fear of being first, or being penalized for moving out in advance of his competitors and, finally, to meet the rising tide of discontent with nationwide, appropriate action, without waiting for city-by-city or store-by-store or case-by-case solutions.Such legislation is, therefore, in your interest, and I hope will have your support. But the final responsibility both now and after such legislation is enacted will rest with you, as mayors on the local level.The problem is growing. The challenge is there. The cause is just. The question is whether you and I will do nothing, thereby inviting pressure and increasing tension, and inviting possible violence, or whether you will anticipate these problems and move to fulfill the rights of your Negro citizens in a peaceful and constructive manner. I ask that you act with wisdom and foresight in these matters, not merely to maintain the luster of American ideals, not merely for the peace of our country, but for the good of your own community.The financial history of those communities which have been beset with racial disturbances shows that they attract less capital and less business. As a Birmingham businessman said, after investment in new plant and expansion had declined some 80 percent in a few years: ""We've become known as a city of reaction, rebellion, and riot--and because of that we're not gaining industry as fast as we should.""It is not enough to say that there are difficult problems in every section of the country. The Vice President and I have been impressed in the past few years, and especially in the past few weeks, by how much can be done by those determined to get something done. We have met with employers who were pleasantly surprised to find how peacefully their hiring practices could be integrated. We met last week with merchants from all sections of the United States, from every major city who had, without delay or difficulty in some cases, desegregated their public accommodations, including lunch counters, hotels, and theaters. We shall be having more meetings in the next few days with labor and religious leaders, with Government and business leaders.It is clear to me that the time for token moves and talk is past, if we are going to meet this problem and master it, that these rights are going to be won, and that it is our responsibility, yours and mine, to see that they are won in a peaceful and constructive way, and not won in the streets.I would suggest, therefore, at least five areas where you can take important action. First, every city can and should establish, preferably through official action by the mayor or the governing body, and I know that a good many of you, in fact most of you, have already done this, to establish a biracial human relations committee.I hear frequently talk that some of the difficulty in some of the communities is

[Page 456]

caused by outsiders. Well, this is one country. People can move from one city to another, especially those with strong convictions, and I think that the best way to meet the problem, if this is what disturbs you, is to establish communication within the community itself, to make sure that there is understanding among all groups, what it is they want, what it is they need, what it is they feel they are entitled to, and then I feel that we can solve it on a local level and not so much by discord and tension; in other words, to identify community tensions before the crisis stage is reached, to improve cooperation and communication between the races with the responsible leadership on both sides, to advise local officials and merchants and organizations as to what steps they can take and what problems they will face to insure prompt progress.Second, every local government can and should make sure that its own ordinances and practices are in accordance with constitutional law. The Supreme Court has made it dear beyond dispute that no local ordinance requiring segregation is constitutional, whether it applies to schools, zoning, restaurants, or places of amusement, either privately or publicly owned, nor can segregation be required without ordinance at a municipal golf course, playground, swimming pool, or other city-owned facilities. In short, every instance or institution of segregation sanctioned by local legislation or public action is clearly invalid, and you should move to abolish it.There will be a difficult period of transition for some, but, and I quote the Court 2 weeks ago, ""The basic guarantees of our Constitution are warrants for the here and now; not merely hopes for some future enjoyment.""Third, every local government can and should follow nondiscriminatory practices in the employment and promotion of its municipal workers. No group of taxpayers or voters should be excluded from the payrolls of your police, fire, school, and other departments. No city government can expect to understand the views of its Negro citizens and no Negro community can be expected to look favorably upon the city government unless men and women of all races are employed at all levels, supervisory as well as custodial, in all parts of that government.Fourth, every local government can and should enact equal opportunity ordinances to spell out the civil rights of those who live in that community, ordinances on equal employment and opportunity, and housing, and equal access to public accommodations. Such measures are not the exclusive concern of the Federal Government. On the contrary, where local leaders have assumed this responsibility, and we can point in the last 12 months to community after community in the South which has done this, with astonishingly successful results, there has been remarkably little difficulty with racial problems. Where local governments have abdicated this responsibility and left it to the Federal Government, there has been far too much difficulty.Fifth, and I think this may prove to be, in time, the most important thing we can all do, and every city can do this immediately, I urge each of you personally to undertake a special campaign this summer in your own community to lessen unemployment among the unskilled of both races by reducing school dropouts. I must say we are going to be faced in this country in the next 10 years with one of the most serious problems in our history, and that is the millions of young boys and girls who are coming onto the labor market, who have dropped out of school, who are unskilled at a very time when the number of jobs suitable for unskilled labor is sharply diminishing because of automation. This problem is our most serious problem that we face in the area of unemployment. What possible skill can a boy or girl who has been in school 5, 6, 7, or 8 years bring to the labor market? We need millions of people who are well trained, high schools, junior colleges, and colleges, but we don't need those who have been to school for only a short time, and it is a

[Page 457]

regrettable tact that in some States over 40 percent of the nonwhite population have been to school for 5 years or 6 years. And they don't stay in one city or State, but they move through the country, and they constitute a hard core of unemployment which is going to cause us increasing difficulty in the years ahead.If all of you in all sections of the country can make a major drive this summer to see if we can get back all the boys and girls who are eligible for school into our schools in September, and keep them there, they are going to be able to contribute a good deal more as citizens, and what is more, an uneducated parent makes an uneducated child. There is nothing more wasteful than to lose the opportunity to educate a boy or girl. He then is in the labor market for 30 or 40 years, frequently on relief, frequently in trouble, frequently living in a depressed section of your community, costing this country millions of dollars in the final analysis--when they could be profitable, responsible, and respected citizens--and bringing up children themselves who are also uneducated. And so it follows generation after generation, and we never catch up. So I would hope that we could make a national drive this summer to meet this problem of school dropouts.I hope you tell them that their chances for steady employment depend upon their staying in school. Tell them that unemployment among those between 16 and 21 is already 1 million, and there is going to be more on the way, for, as I say, the number of young job seekers grows as the demand for unskilled labor decreases.I have not proposed to you any step that the Federal Government is unwilling to take in its own area of jurisdiction. We have undertaken to eliminate segregation and discrimination in Federal employment, in federally financed housing and construction, in Federal recreation areas, in our cafeterias, and other facilities. The proportion of Negroes holding Federal jobs is much too low. We have been going through our figures in recent weeks; it is much too low.The proportion of those working in responsible jobs among those holding Government contracts is much too low. It shows that passing a law is not enough.Today it is unlawful for any manufacturer who holds a Government contract to practice discrimination, and yet the percentage of Negroes who hold white-collar jobs on those contracts which are covered by the National Government is a fraction of their percentage of the population.In other words, even though we have had in the last 21/2 years 1700 complaints from Negroes who say they are being discriminated against and 70 percent of those have been solved in favor of the applicant, nevertheless, that doesn't do the job at all. It requires a concentrated effort by the employer, by the union, by the National Government, the Governors, and the States to bring along and make possible the hiring of these boys and girls, these men and women who in many cases have been culturally deprived, and who, therefore, do not compete as well as they should and, therefore, are left behind.This is a problem which is going to be important for us all, and the very fact that the law covers them has not done the job at all in this area. We are going to have to do much better. And it does indicate that the mere passage of legislation is not the answer to our problem. We aim to change this as quickly as possible, and nationwide. As a matter of fact, in the past 21/2 years we have increased by a third in the Federal Government the number of Negroes who are holding jobs in the higher grades, and still it is below what it should be.We have supported equal rights in the courts and in the Congress and will shortly prepare further steps.Your responsibilities, of course, are more localized, but we also in Washington are responsible for a city--the District of Columbia. The fact of the matter is there are more Negroes in the District of Columbia than almost any city in the United States. There is no southern mayor who can say ""this is

[Page 458]

a problem we understand that you do not understand,"" because in Washington, D.C., nearly 54 percent of the population is Negro. Much has been written about crime and race relations in Washington, and much of it is untrue, but we are concerned about the District problem. This is a problem that we face, and that is why I do not come here today suggesting that one section of the country has any right to point the finger at any other section of the country. This is a problem for us in Washington--north and south, east and west.We are concerned about our problems and we are trying to do something about them. All places of public accommodation in the Nation's Capital have been opened, and very little difficulty has come from it, to customers of all races. Equal employment is the policy of the District Government as it is of the Federal Government. There is no racial bar to any public school in Washington.The District Commissioners have announced their intention to enact a fair housing ordinance if the Congress does not. We are actively intervening to open up more jobs, and jobs are perhaps the key to all of these problems. We are opening up more jobs particularly in the building trades unions. And we have urged the Congress to provide home rule for the District so that all of our citizens can participate more effectively and responsibly in the burdens of government.Moreover, by striving to improve the quality of life for all of our residents, Negro and white alike, we are helping to ease the economic and other pressures which would otherwise increase tensions. We are prepared to work with you on similar Federal local programs--to improve public welfare, to root out juvenile delinquency, to eradicate urban blight, to increase youth employment, to assist urban mass transit, to promote mental health.The United States of America has 3 percent of its children mentally retarded. Sweden has 1 percent. That is what we pay for in slums and in secondary living, and it is concentrated in many cases--the mental retardation--among the minority groups.We want to provide more recreation and health facilities and to war on organized crime.These measures, some of which are barely underway, I think, can prove effective in the District of Columbia. I know on a nationwide basis they have for the most part been supported by this conference.The elevation of all these urban redevelopment problems, I believe, can be most effectively maintained by the creation of a new Cabinet post to concern ourselves with life in the cities, which is already long overdue.In conclusion, my fellow chief executives, may I say this: The improvement of race relations and the fulfillment of human rights is a continuing problem and continuing challenge. I do not propose to limit our mutual concern to one brief address. I hope to meet with many of you in the White House in the near future. I must say I was impressed by the willingness of so many mayors to move ahead in this area. Yesterday I read where Mayor David Schenck of Greensboro--and this is a story in the New York Times--appealed to all of the businessmen of the community in North Carolina and said, ""I say to you who own and operate places of public accommodation in the city, the hotels, motels and restaurants, that now is the time to throw aside the shackles of past customs. Selection of customers purely by race is outdated, morally unjust, and not in keeping with either democratic or Christian philosophy."" So spoke the Mayor of Greensboro, N.C., and I think it is good advice for all of us.Justice cannot wait for too many meetings. It cannot wait for the action of the Congress or the courts. We face a moment of moral and constitutional crisis, and men of generosity and vision must make themselves heard in every section of this country. I do not say that all men are equal in their ability, their character, or their motivation, but I say they should be equal in their chance to develop

[Page 459]

their character, their motivation, and their ability. They should be given a fair chance to develop all the talents that they have, which is a basic assumption and presumption of this democracy of ours.On your return from this conference, you can set an example in your communities to which the timid can rally and which those clinging to the past cannot ignore. I ask you to join with me, as a fellow American, as a responsible citizen, as one who occupies a position of responsibility, as one who must, in the final analysis solve these problems which cannot be solved in Washington; to recognize the rights of all Americans in guiding along constructive channels, in working along in constructive ways as a free society must to attain a peaceful revolution which will not only avoid disaster, but, much more importantly, fulfill our highest obligations.Thank you very much.NOTE: The President spoke in the Lawn House at the Hawaiian Village Hotel in Honolulu. In his opening words he referred to Mayor Richard C. Lee of New Haven, Conn., presiding officer; Mayor Neil S. Blaisdell of Honolulu; and Governor John A. Burns of Hawaii."
